rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 36-Pack AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B00LH3DMUO,True,False,4.7,674502.0
1,"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 20 Count Pack Triple A Battery with Long-lasting Power, Alkaline AAA Battery for Household and Office Devices",B002UXRXE6,False,False,4.8,111411.0
2,"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 6 Count Pack Triple A Battery with Long-lasting Power, Alkaline AAA Battery for Household and Office Devices",B004M7YC8S,False,False,4.8,3764.0
3,"Energizer AAA Batteries, Max Triple A Alkaline, 4 Count",B00451UL8G,False,False,4.7,5550.0
4,"Voniko - Premium Grade AAA Batteries - 24 Pack - Alkaline Triple A Battery - Ultra Long-Lasting, Leakproof 1.5v Batteries - 10-Year Shelf Life",B07RX92KGM,False,False,4.5,15345.0
5,"ACDelco 20-Count AAA Batteries, Super Alkaline Battery, 10-Year Shelf Life",B006OVWT08,False,False,4.7,23831.0
6,"Energizer MAX AAA Batteries (12 Pack), Triple A Alkaline Batteries",B00008XPN0,False,False,4.8,29011.0
7,"Amazon Basics (Pack of 8) AAAA Alkaline High-Performance Batteries, 1.5 Volt, 3-Year Shelf Life",B00LH3DTYS,True,False,4.6,51985.0
8,"Energizer MAX AAA Batteries (16 Pack), Triple A Alkaline Batteries",B004RFF55E,False,False,4.7,2430.0
9,"Amazon Basics 20-Pack AAA Alkaline Batteries, 1.5 Volt, Long-Lasting Power",B081FG2C3Y,True,False,4.6,47831.0
10,"Duracell Optimum AAA Batteries with Power Boost Ingredients, 12 Count Pack Double A Battery with Long-lasting Power, All-Purpose Alkaline AA Battery for Household and Office Devices",B07RN9SJ4L,False,False,4.8,22295.0
11,"ACDelco 48-Count AAA Batteries, Maximum Power Super Alkaline Battery, 10-Year Shelf Life",B00FF8KQJC,False,False,4.7,25789.0
12,Energizer MAX Alkaline Batteries AAA 2 Pack,B00003IEM9,False,False,4.7,702.0
13,"ACDelco UltraMAX 20-Count AAA Batteries, Alkaline Battery with Advanced Technology, 10-Year Shelf Life, Recloseable Packaging",B07Y17JCGS,False,False,4.6,1367.0
14,Energizer Max AAA Alkaline Battery 4 ea (Pack of 2),B01IAI62NW,False,False,4.8,167.0
15,"Amazon Basics 12-Pack Rechargeable AAA NiMH Performance Batteries, 800 mAh, Recharge up to 1000x Times, Pre-Charged",B007B9NXAC,True,False,4.6,171129.0
16,"ACDelco UltraMAX 10-Count AAA Batteries, Alkaline Battery with Advanced Technology, 10-Year Shelf Life, Recloseable Packaging",B07VGGHH5L,False,False,4.6,1429.0
17,"Powermax 48-Count AAA Batteries, Ultra Long Lasting Alkaline Battery, 10-Year Shelf Life, Reclosable Packaging",B0BFFSTFJH,False,False,4.6,4018.0
18,"Energizer Alkaline Power AAA Batteries (32 Pack), Long-Lasting Triple A Batteries",B09RTVN5GN,False,False,4.8,14029.0
19,"PKCELL AAA LR03 Batteries, 1.5V Triple A Alkaline Battery AAA Batteries 12 Pack for Keyboards Clocks Toys Remote Controls (10-Year Shelf Life)",B01IQX5E7G,False,False,4.4,3826.0
20,8pc Panasonic AAA Batteries Super Heavy Duty Power Carbon Zinc Triple A Battery 1.5v,B01N03FKKC,False,False,4.5,1858.0
21,"Duracell Coppertop AAA Batteries, 28 Count Pack Triple A Battery with Long-Lasting Power for Household and Office Devices (Ecommerce Packaging)",B09FVWFK42,False,False,4.8,7974.0
22,"Duracell Optimum AAA Batteries with Power Boost Ingredients, 4 Count Pack Triple A Battery with Long-lasting Power, All-Purpose Alkaline AAA Battery for Household and Office Devices",B07RTNFCV2,False,False,4.8,17056.0
23,"POWEROWL High-Capacity Alkaline AAA Batteries 24 Pack, 1.5v Long Lasting Triple A Battery, 10-Year Shelf Life",B0BG8G67SP,False,False,4.4,1626.0
24,16 AAA 1.5V Energizer Ultimate Lithium FR03 Fresh Batteries,B01M03PNWK,False,False,4.7,131.0
25,"EBL AAA Batteries 28 Pack, 1.5V Triple A Batteries with Long-Lasting Power, High Capacity AAA Alkaline Batteries Leakproof Design for Household and Office Devices",B07X9SC7PW,False,False,4.5,5240.0
26,(10-Pack) 1.2V Ni-MH AAA 1000mAh Rechargeable Battery w/Tabs Compatible with Electric Razors Toothbrushe High Power Static Applications (Telecoms UPS and Smart Grid) Electric Moped Waterpik,B0C2HCB6LG,False,False,,
27,"Energizer AAA Batteries, Ultimate Lithium Triple A Battery, 24 Count",B07R69Y9Y6,False,False,4.7,3855.0
28,"Energizer AA Batteries and AAA Batteries, 24 Max Double A Batteries and 24 Max Triple A Batteries Combo Pack, 48 Count",B087GMJXMC,False,False,4.8,57899.0
