rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Memory Foam Mattress, CertiPUR-US Certified, 7 inch, Queen, Medium, Grey",B085LMQX15,True,False,4.3,954.0
1,"Amazon Basics Cooling Gel-Infused, Medium-Firm Memory Foam Mattress, CertiPUR-US Certified - Queen Size, 10 Inch (White/Gray)",B07R1DQL6Q,True,False,4.4,5481.0
2,"Amazon Basics Memory Foam Mattress, Medium Firm, 10 Inch, Queen, White/Grey",B0B34NJ4HP,True,False,4.4,7402.0
3,"Amazon Basics Hybrid Mattress - Medium Feel - Memory Foam - Motion Isolation Springs - 10-Inch, Queen, White & Gray",B07XS9Y54K,True,False,4.5,936.0
4,"Amazon Basics Signature Hybrid Mattress, Cushion Firm Feel, Gel Memory Foam for Deeper Support, Cool to Touch top Fabric, CertiPUR-US Certified, 12 inch, Queen, White / Gray",B085LMTDLH,True,False,4.2,325.0
5,"Amazon Basics Signature Hybrid Eurotop Mattress Memory Foam - Medium Feel - EnergexTM foam for Deeper Support - Cool to Touch top Fabric - CertiPUR-US Certified, 13.5 inch, Queen, White & Gray",B085LMVYL7,True,False,3.8,124.0
6,"Amazon Basics Premium Hybrid Mattress Memory Foam- 12-Inch, Queen Metal Bed with Modern Industrial Design Headboard - 14 Inch Height for Under-Bed Storage, Queen",B08WS8NYT4,True,False,4.6,2.0
7,"Amazon Basics Heavy Duty Non-Slip Bed Frame with Steel Slats, Easy Assembly - 18"" H Cooling Gel Infused Latex-Feel Mattress - Firm Support - CertiPUR-US Certified - 12 inch, Queen",B08WS8FKNQ,True,False,,
8,"Amazon Basics Smart Box Spring Bed Base, 9 Inch Mattress Foundation, Tool-Free Easy Assembly, Queen, White",B07K6H8MBV,True,False,4.5,9670.0
9,"Amazon Basics Metal Platform Bed Frame with Wood Slat Support, 10 Inches High, Queen, Black",B08JMYSN63,True,False,4.2,3773.0
10,"Amazon Basics Metal Bed Frame, 9-Leg Base for Box Spring and Mattress, Queen, Tool-Free Easy Assembly, 79.5"" L x 60"" W x 7"" H, Black",B07D4BD47F,True,False,4.5,29395.0
11,"Amazon Basics Smart Box Spring Bed Base, 5 Inch Mattress Foundation, Tool-Free Easy Assembly, Queen, White",B07K6H8618,True,False,4.5,14439.0
12,"Amazon Basics Smart Box Spring Polyester Bed Base, 7-Inch Mattress Foundation, Tool-Free Easy Assembly, Queen Size, White",B082T8D9XC,True,False,4.6,4035.0
13,"Amazon Basics Metal Bed with Modern Industrial Design Headboard - 14 Inch Height for Under-Bed Storage - Wood Slats - Easy Assemble, Queen, Black",B086TG9Q4V,True,False,4.4,1041.0
14,"Amazon Basics Mattress Foundation/Smart Box Spring for Queen Size Bed,9-Inch 6-Leg Support Metal Bed Frame Premium Foam Eurotop Mattress - 9-inch, Queen",B08WSCPZX6,True,False,,
