rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"DearHouse 2 Pack Fall Garland Maple Leaf, 5.9Ft/Piece 7 Colors Hanging Vine Garland Artificial Autumn Foliage Garland Thanksgiving Decor for Home Wedding Fireplace Party Christmas",B08GKBFV2Q,False,False,4.4,6921
1,Pumpkin Decor 12pcs Artificial Fake Faux Velvet Foam Fabric Pumpkins Decoration for Fall Home Farmhouse Harvest Thanksgiving Decorative,B09B6WGTVC,False,False,4.5,387
2,Hey There Pumpkin Welcome Hanging Sign Front Door Decor Fall Decorative Wooden Welcome Sign Rustic Porch Decoration for Home Office Garden Farmhouse 12 Inch,B0C9365365,False,False,4.6,38
3,Momkids 6 Pcs Faux Flower Fake Babys Breath Flower Bulk Artificial Gypsophila Bouquet Silk Floral for Home Kitchen Bedroom Festival Wedding Xmas Party Decor (Orange),B088LLGFWR,False,False,4.0,5270
4,"winemana Thanksgiving Artificial Pumpkins Fall Decorations for Home, 50Pcs Fall Decor- 30 Fall Leaves, 10 Acorns, 2 Pinecones, 8 Fake Pumpkins, Harvest Farmhouse Table Tiered Tray Decorations Set",B07VJDV971,False,False,4.3,6066
5,12pcs Fake Pumpkin Decor with 24pcs Acorns and 4pcs Pinecones for Halloween Thanksgiving Table Fall Decorations for Home,B09T6QLQRS,False,False,4.4,477
6,"YUJUN 4 Pack Fall Pillow Covers Decoration,18x18in Buffalo Plaid Farmhouse Blue Pumpkin Thanksgiving Throw Pillows Cushion Case Couch Decorative for Thanksgiving Autumn Home Outdoor Decorations",B0CC1BHSBG,False,False,4.7,8
7,3 Pieces Fall Tiered Tray Decor Thanksgiving Pumpkin Decor Fall Wooden Sign Rustic Fall Tabletop Block Sign Farmhouse Fall Centerpieces for Thanksgiving Harvest Fall Autumn Decor,B0C282XMCY,False,False,4.1,24
8,"Fall Window Clings, 8 Sheet Fall Window clings for Glass Windows, Fall Decorations for Home, Fall Leaves Window Stickers for Thanksgiving Autumn Fall Décor",B0C5M6SDPR,False,False,4.6,76
9,HAKACC 14 PCS Artificial Lifelike Simulation Mixed Pumpkins Fake Pumpkins with 30PCS Fake Maple Leaves Festival Thanksgiving Fall Harvest Home Decoration,B08BHW3MX3,False,False,4.1,1398
