rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 100-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B01B8R6PF2,True,False,4.7,752922.0
1,"Amazon Basics 36-Pack AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B00LH3DMUO,True,False,4.7,674319.0
2,Amazon Basics 24 Count AA & AAA High-Performance Batteries Value Pack - 12 Double AA Batteries and 12 Triple AAA Batteries,B094D3K2W9,True,False,4.7,5010.0
3,"Amazon Basics 8-Pack 9 Volt Alkaline Performance All-Purpose Batteries, 5-Year Shelf Life, Packaging May Vary",B00MH4QM1S,True,False,4.7,157122.0
4,"Amazon Basics 12-Pack D Cell Alkaline All-Purpose Batteries, 1.5 Volt, 5-Year Shelf Life",B00MH4QKP6,True,False,4.7,123190.0
5,"Amazon Basics 12-Pack C Cell Alkaline All-Purpose Batteries, 1.5 Volt, 5-Year Shelf Life",B00MH4QI26,True,False,4.7,124591.0
6,"Amazon Basics 12-Pack AA Alkaline Batteries, 1.5 Volt, Long Lasting Power",B07KWYGTC6,True,False,4.6,18326.0
7,Amazon Basics 108 Count Alkaline Battery Super Value Pack - 48 AA + 36 AAA + 8 C + 8 D + 8 9Volt,B094D4FVN2,True,False,4.8,855.0
8,"Amazon Basics 4-Pack 9 Volt Alkaline Everyday Batteries, 5-Year Shelf Life",B081FGCRQQ,True,False,4.7,14346.0
9,"AmazonBasics Alkaline Battery Combo Pack | AA 48-Pack, AAA 36-Pack (May Ship Separately)",B07JF5NZPS,True,False,4.7,3556.0
10,"Amazon Basics 16-Pack Rechargeable AA NiMH Batteries, 2000 mAh, Recharge up to 1000x Times, Pre-Charged",B007B9NV8Q,True,False,4.5,125486.0
11,"Amazon Basics 20-Pack AAA Alkaline Batteries, 1.5 Volt, Long-Lasting Power",B081FG2C3Y,True,False,4.6,47813.0
12,"Amazon Basics 8-Pack Rechargeable AA NiMH High-Capacity Batteries, 2400 mAh, Recharge up to 400x Times, Pre-Charged",B00HZV9WTM,True,False,4.5,114308.0
13,"Amazon Basics 6-Pack CR123A Lithium Batteries, 3 Volt, 10-Year Shelf Life",B07WTQHK27,True,False,4.6,27762.0
