rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Introducing Echo Pop | Full sound compact smart speaker with Alexa | Lavender Bloom,B09ZXJDSL5,False,False,4.7,13578.0
1,"Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Deep Sea Blue",B09B93ZDG4,False,False,4.7,63096.0
2,"All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display with deeper bass and clearer sound | Charcoal",B09B2SBHQK,False,False,4.5,7847.0
3,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",B07XKF5RM3,False,False,4.7,141367.0
4,"Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue",B09B8W5FW7,False,False,4.7,50140.0
5,"Echo Studio | Our best-sounding smart speaker ever - With Dolby Atmos, spatial audio processing technology, and Alexa | Charcoal",B07G9Y3ZMC,False,False,4.5,39576.0
6,"All-New Echo Show 8 (3rd Gen, 2023 release) | With Spatial Audio, Smart Home Hub, and Alexa | Charcoal",B0BLS3Y632,True,False,,
7,"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",B084DCJKSL,False,False,4.7,77815.0
8,Echo Show 10 (3rd Gen) | HD smart display with motion and Alexa | Charcoal,B07VHZ41L8,False,False,4.6,44622.0
9,"Certified Refurbished Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",B09RX3BZ8V,False,False,4.6,683.0
10,"Echo Dot (5th Gen, 2022 release) Kids | Designed for kids, with parental controls | Owl",B09B9CD1YB,False,False,4.7,8478.0
11,"All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display with deeper bass and clearer sound | Charcoal",B09B2SBHQK,True,False,4.5,7847.0
12,"Certified Refurbished Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue",B09RX36H6Z,False,False,4.6,520.0
13,"Certified Refurbished Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",B084TNGWS1,False,False,4.6,2667.0
14,"Certified Refurbished Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",B085PNV4SK,False,False,4.6,3113.0
15,"Echo Glow - Multicolor smart lamp, a Certified for Humans Device – Requires compatible Alexa device",B07KRY43KN,False,False,4.6,45810.0
16,"Stop Watt Energy Saving Device, Pro Power Saver by Elon Musk, Household Power Saver Energy Saver, Magic Power Save Tool (4Pcs)",B0CGRDV8PP,False,True,4.5,4887.0
17,"All-new Echo Show 5 (3rd Gen, 2023 release) Kids | Designed for kids, with parental controls | Galaxy",B09B2SB77Q,False,False,4.4,343.0
18,"Certified Refurbished Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",B084L11QXT,False,False,4.6,8800.0
19,"Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Deep Sea Blue",B09B93ZDG4,True,False,4.7,63096.0
20,"Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Glacier White",B09B8VN8YQ,True,False,4.7,50140.0
21,"Bietrun Wireless Microphones with Echo,Treble,Bass & Bluetooth,98 FT Range,Portable UHF Handheld Karaoke Dynamic Microphone System with Rechargeable Receiver for Karaoke,Singing,Amp,PA System,DJ,Stage",B089F37NGY,False,True,4.3,1941.0
