rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"OTOSTAR Throw Pillow Insert, 12 x 20 Cushion Inner Soft Fluffy Plump Stuffer Cushion Pad White Decorative Pillow Insert",B0B52ZY9J9,False,False,4.6,964.0
1,"Artscope Premium Throw Pillow Insert Square Form Cushion Stuffer for Couch, Sofa, Bed - Indoor Decorative Pillows Inserts 12x20 Inch",B08QHLSLZY,False,False,4.6,1531.0
2,MIULEE Throw Pillow Insert Premium Pillow Stuffer Sham Rectangle for Decorative Cushion Bed Couch Sofa 12x20 Inch,B083LMRXJC,False,False,4.5,30857.0
3,"MIULEE Pillow Insert 12x20 Inch, Decorative Rectangle Throw Pillow Inserts, Premium Fluffy Pillow Forms Sham Stuffer for Sofa Couch Living Room",B0BN5VRGS6,False,False,4.4,399.0
4,"Utopia Bedding Throw Pillows Insert (Pack of 2, White) - 12 x 20 Inches Bed and Couch Pillows - Indoor Decorative Pillows",B07N7GDB6Q,False,False,4.6,173622.0
5,"Utopia Bedding Throw Pillows (Set of 4, White), 12 x 20 Inches Pillows for Sofa, Bed and Couch Decorative Stuffer Pillows",B07TF799NH,False,False,4.7,89435.0
6,"TAOSON Decorative 100% Cotton Canvas Square Solid Toss Pillowcase Cushion Cover Pillow Case with Hidden Zipper Closure Only Cover No Insert - White 12""x20""(30x50cm)",B011E1SVE0,False,False,4.2,2074.0
7,"EDOW Luxury Throw Pillow Insert, Soft Fluffy Down Alternative Polyester Square Form Decorative Pillow Insert,Sham Stuffer,Cotton Cover for Sofa, Couch,Bed and Car. (White, 12x20)",B07KTJXVKX,False,False,4.4,1362.0
8,"Trendy Home 12x20 Throw Pillow Insert, Cushion Sham Stuffer Hypoallergenic, Lumbar Support Decorative Home Outdoor Couch Bed Pillow Filler (Non Woven)",B07JP4XQ4J,False,False,4.5,8649.0
9,"4-Pack 100% Cotton Lumbar Comfortable Solid Decorative Throw Pillow Case, Rectangle Cushion Cover Pillowcase, DIY Throw Pillowcase for Sofa Bed(Only Covers, Not Inserts)(12x20inch/30x50cm, White)",B07THXDMGW,False,False,4.5,27169.0
10,"12x20 Pillow Inserts Decorative Throw Pillow Inserts-Square Interior Sofa Pillow Inserts - Decorative Pillow Insert Pair - White Couch Pillow (2, 12""x20"")",B09PTQSYCZ,False,False,4.7,4994.0
11,"12X20 Decorative Throw Pillow Insert, Premium Down and Feathers Fill, 100% Cotton Cover 233 Thread Count, Rectangle Pillow Insert - Made in USA (1)",B013ISE6JG,False,False,4.5,223.0
12,MIULEE Set of 2 Throw Pillow Inserts Premium Pillow Stuffer Rectangle Form for Decorative Cushion Bed Couch Sofa 12x20 Inch,B086PP13JJ,False,False,4.2,25628.0
13,"Utopia Bedding Throw Pillow Inserts (Pack of 4, White), 12 x 20 Inches Decorative Indoor Pillows for Sofa, Bed, Couch, Cushion Sham Stuffer",B09MRXKP4R,False,False,4.6,2395.0
14,"DOWNCOOL 100% Cotton Stuffer Throw Pillow Insert, Rectangle Down and Feather Filled Decorative Bed Sofa Insert, 12x20 Inch, White",B088JXZZM4,False,False,4.5,2519.0
15,MIULEE 12x20 Pillow Inserts Throw Pillow Inserts Set of 2 12 x 20 Inches Pillow Inserts Square White Decorative Throw Pillows for Couch Sofa Bed,B0C7BGG4D8,False,False,3.8,96.0
16,"Trendy Home 12x20 Throw Pillow Insert, Cushion Sham Stuffer Hypoallergenic, Lumbar Support Decorative Home Outdoor Pillow Filler (Non Woven, 2 Pack)",B07JP1JT93,False,False,4.5,1835.0
17,"MIULEE 12x20 Pillow Inserts Set of 2, Rectangle Decorative Throw Pillow Premium Fluffy Lumbar Pillow Forms Sham Stuffer for Living Room Sofa Couch Bed",B0BN5W88VX,False,False,4.0,371.0
18,"Throw Pillow Inserts, Set of 2 Lightweight Down Alternative Polyester Pillow, Couch Cushion, Sham Stuffer, Machine Washable. (White, 12x20)",B07VFNJL3S,False,False,4.5,9945.0
19,MIULEE 12 x 20 Outdoor Pillow Inserts - Set of 2 Premium Water Resistant Throw Pillows Shredded Memory Foam Cooling Filler - Lumbar Decorative Couch Stuffer Sham for Patio Funiture,B0BHY94RZJ,False,False,4.6,103.0
20,"12×20 Premium Goose Down Feather Throw Pillow Inserts(Set of 2)-5% Down Filling,High Filling Weight,250 TC Cotton Cover, Square, White",B07VGHNJ7Z,False,False,4.6,1954.0
21,"12""x20"" Pillow Inserts, Soft Feather Pillow Set of 2, Indoor Decorative Sofa Down Pillows Bed Pillows Couch Pillow",B0B5X1QJ9V,False,False,4.3,74.0
22,"Throw Pillows Inserts, 12'' x 20'' Set of 2, Decorative Comfy Pillows for Couch, Sofa, Bed with Premium Down Alternative Filled, White",B0CCJ97H6Y,False,False,3.6,23.0
23,"raajsee Throw Pillow Inserts (White, Set of 2) 12x20 Inches Pillow Inserts Rectangle- Decorative Couch Pillows, Premium Micro Cotton Fabric Fluffy & Soft Pillows for Bed, Sofa, Sham-Machine Washable",B09TRL9BQ1,False,False,4.2,102.0
24,"MIULEE Pack of 2 12x20 Outdoor Pillow Inserts, Outdoor Throw Pillows Water-Resistant Decorative Premium Lumbar Pillow Stuffer Sham for Porch Swing Couch Sofa Cushion Patio Furniture",B08MV1DBTD,False,False,4.1,2852.0
25,AM AEROMAX 12 × 20 Pillow Insert (Pack of 2) Memory Foam Lumbar Support Throw Pillow Sham Rectangular for Decorative Cushion Bed Couch Sofa Without Deform After Longtime Use,B0BM5TDGJM,False,False,4.7,1335.0
