rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Ymumuda 2024 Planner, 12-Month Weekly Monthly Planner from JAN.2024 to DEC.2024, 8.4"" X 6"", Spiral Planner Notebook with Stickers, Elastic Closure, Inner Pocket, Coated Tabs, Floral 05",B0CD6YMY83,False,False,4.8,362.0
1,"Blue Sky 2024 Weekly and Monthly Planner, January - December, 5"" x 8"", Flexible Cover, Wirebound, Enterprise (144726)",B0CBQX5MZW,False,False,4.7,7027.0
2,"SUNEE 2024 Weekly and Monthly Planner - from January 2024 - December 2024, 8.5""x11"" Daily Agenda Planner with Monthly Tab, Flexible Cover, Note Pages, Pockets, Bookmark, Spiral Binding, Greenery",B0CF12DMX2,False,False,4.9,51.0
3,"2024 Planner - 2024 Calendar Monthly Planner 8.5""x 6.4"", January 2024 to December 2024, 2024 Weekly Planner Spiral bound with Elastic Closure, Coated Tabs, Inner Pocket",B09G66GXP2,False,False,4.7,818.0
4,"2024 Planner - Planner 2024, January 2024 - December 2024, Weekly Monthly Planner 2024, 6.3"" x 8.4"", 2024 Monthly Planner Spiral Bound with Inner Pocker, 12 Months Tabs",B0C6XN7PV2,False,False,4.8,346.0
5,"Ymumuda 2024 Planner, 12-Month Weekly Monthly Planner from JAN.2024 to DEC.2024, 8.4"" X 6"", Spiral Planner Notebook with Stickers, Elastic Closure, Inner Pocket, Coated Tabs, Floral 03",B0CD6ZHWBN,False,False,4.6,470.0
6,"AT-A-GLANCE 2024 Weekly Planner, DayMinder, Quarter-Hourly Appointment Book, 8"" x 11"", Large, Black (G5200024)",B0BZQ8LBF9,False,False,4.7,1578.0
7,"2024 Planner - 2024 Planner Weekly and Monthly from Jan. 2024 - Dec. 2024, 8.5"" x 6.4"", Planner 2024 with 12 Monthly Tabs, Classic Gray, Thick Paper, Spiral Bound, Perfect Organizer",B09Q883473,False,False,4.7,1232.0
8,"2024 Planner - Jan. 2024 - Dec. 2024, 8"" x 10"" (with Twin-Wire Binding), Planner 2024 Weekly & Monthly, Strong Twin-Wire Binding, Round Corner, Improving Your Time Management Skill",B07T2YRXFF,False,False,4.6,11873.0
9,"2024 Planner - Planner 2024, Jan 2024 - Dec 2024, 8"" x 10"", Weekly and Monthly Planner with Monthly Tabs, 2024 Monthly Planner Spiral Bound, Flexible Hardcover, Daily Organizer",B07WV313H3,False,False,4.7,8038.0
10,"2024 Planner - Planner 2024, January 2024 - December 2024, 8"" x 10"", Weekly Monthly Planner 2024 with Printed Tabs, Flexible Cover, Twin- Wire Binding",B0C4NKCS28,False,False,4.9,23.0
11,"SUNEE 2024 Appointment Book, Quarter-Hourly, Weekly & Monthly - from January 2024 - December 2024, 8.5""x11"" Weekly Planner, Flexible Cover, Note Pages, Pockets, Bookmark, Spiral Binding, Black",B0CF11TTDN,False,False,4.9,22.0
12,"2024 Planner - Planner 2024 from January 2024 - December 2024, 8"" x 10"", Weekly and Monthly Planner 2024 with Marked Tabs, Flexible Cover + Thick Paper + Twin-Wire Binding - Blue",B0C37HDZ17,False,False,4.6,515.0
13,"Stilip 2024 Planner Weekly and Monthly 6.1""*8.5"",Planner 2024 Jan.2024 - Dec.2024,Achieve Your Goals with this 2024 Monthly Planner Spiral Bound, Perfect for Productivity and Time Management - Gray",B0CC4QW5MJ,False,False,4.9,15.0
14,"2024 Planner - Planner 2024, 2024 Calendar Planner, January 2024 - December 2024, 2024 Monthly Planner 8"" x 10"", 2024 Monthly Planner Spiral Bound with Tabs, Julian Dates, Reference Calendar",B0C7KBZ8PM,False,False,,
15,"2024 Planner - Planner 2024, Jan.2024 - Dec.2024, 6.4"" x 8.5"", 2024 Planner Weekly and Monthly, Calendar Planner with Inner Pocket, Elastic Closure, Spiral Bound",B0C7VLFK1N,False,False,4.6,44.0
16,"2024 Planner - Planner 2024 Weekly & Monthly, Jan 2024 - Dec 2024, 8'' x 10'', 2024 Planner Spiral Bound, Printed Monthly Tabs, Premium Paper, Flexible Cover, Round Corner Design",B0CFKP4LG9,False,False,4.6,363.0
17,"Ymumuda 2024 Planner, 12-Month Weekly Monthly Planner from JAN.2024 to DEC.2024, 8.4"" X 6"", Spiral Planner Notebook with Stickers, Elastic Closure, Inner Pocket, Coated Tabs, Floral 10",B0CD73P6RX,False,False,4.2,7.0
18,"Katie Daisy 2024 Weekly Planner: Wild Beauty | Travel-Size 12-Month Calendar | Compact 5"" x 7"" | Flexible Cover, Wire-O Binding, Elastic Closure, Inner Pockets",1631369660,False,False,4.5,163.0
19,Wititudes 16-Month 2023-2024 Weekly/Monthly Planner Calendar: Everything Is Better When You Decide You Don't Care,1524882577,False,False,4.5,23.0
20,Sierra Club Engagement Calendar 2024,1578052408,False,False,4.9,515.0
21,2024-2025 Monthly Planner: with Holidays and Inspirational Quotes (Two Years from January 2024 to December 2025),1915627095,False,False,4.7,64.0
22,"2024 Planner - 2024 Planner Weekly and Monthly, Jan. 2024 - Dec. 2024, 12 Monthly Weekly Planner with Tabs, Hardcover, 6.4‘’ x 8.3'' Calendar Planner with Elastic Closure, Inner Pocket",B09DC91P52,False,False,4.7,1504.0
23,"2024 Planner - Planner/Calendar 2024, Jan 2024 - Dec 2024, 2024 Planner Weekly and Monthly with Tabs, 6.3"" x 8.4"", Hardcover with Back Pocket + Thick Paper + Twin-Wire Binding - Oil Painting",B0CCNWY3NN,False,False,4.7,68.0
24,"2024 Planner - Planner 2024, Jan 2024 - Dec 2024, 2024 Planner Weekly and Monthly with Tabs, 8.4"" x 6.3"", Calendar Planner 2024 with Premium Thick Paper, Twin-Wire Binding, 12 Monthly Tabs, Perfect for Organization, Office, School",B0C5CC85QD,False,False,4.6,17.0
25,"2024 Planner - Planner 2024, Jan.2024 - Dec.2024, 8"" x 10"", 2024 Planner Weekly & Monthly with Tabs, Thick Paper + Twin-Wire Binding + Contant + Canledar +Holidays, Daily Organizer - Art Floral",B0C6XHV3GS,False,False,4.7,148.0
26,"2024 Planner - Planner 2024 January - December, 2024 Planner Weekly and Monthly with Tabs, 2024 Calendar with Flexible Cover, A5 Thick Paper, Twin-Wire Binding, Black",B0C8MD59G9,False,False,4.7,22.0
27,2024-2025 Monthly Planner: Two year Agenda Calendar with Holidays and Inspirational Quotes large organizer and Schedule 8.5x11,B0C7T3JLKK,False,False,5.0,1.0
28,"2024 Planner - Planner 2024, January - December 2024 Planner, 2024 Weekly Monthly Planner 8'' x 10'', 2024 Calendar Planner with Twin-Wire Binding, Functional Pages, 12 Months Coated Labels, 2024 Calendar Monthly Planner 8 1/2 x 11",B0CBLS23K6,False,False,,
29,"2024 Planner - 2024 Planner Weekly and Monthly from January 2024 - December 2024, 5.75"" X 8.25"", Calendar Planner with Premium Thicke Paper, Inner Pocket and Notes Pages - Brown",B0C6QJM4R7,False,False,4.7,31.0
30,"2024 Planner - Planner 2024, Jan. 2024 - Dec. 2024, 8"" x 10"" Weekly Monthly Planner, 2024 Planner Weekly and Monthly with Note Page for Each Week, Hardcover, Pen Loop, Elastic Band, Back Pocket - Gary",B0C7Q3SHJK,False,False,4.6,313.0
31,"Planner 2024 - Academic Planner 2024, Jan.2024 - Dec.2024, 2024 Large Planner, 2024 Planner Weekly & Monthly, 8"" x 10"", Hardcover with Back Pocket + Twin-Wire Binding + Inner Pocket - Purple",B0CH2GTM4V,False,False,,
32,"2024 Planner - Planner 2024, Jan. 2024 - Dec. 2024, 2024 Weekly and Monthly Planner with Tabs, 6.3"" x 8.4"", Thick Paper, Hardcover, Back Pocket, Inspirational Quotes - Schedule Your Life Well",B0C4L8QKQ3,False,False,4.9,42.0
33,"2024 planner - Weekly and Monthly Planner 2024, Jan.2024 - Dec.2024, 6.4"" x 8.5"", 2024 weekly and monthly Planner with Monthly tabs, Twin-Wire Binding, Back Pocket - Purple nebula",B0CC5S82WJ,False,False,4.7,78.0
34,2024-2025 Monthly Planner: Two Year Schedule Organizer (January 2024 through December 2025) with Watercolor Floral Cover,B0BRLW11ZW,False,False,4.4,18.0
35,"2024 Planner - Planner 2024, 2024 Planner from Jan. 2024 - Dec. 2024, 2024 Planner Weekly and Monthly with Tabs, 6.1"" x 8.7"", Hardcover with Back Pocket + Thick Paper + Twin-Wire Binding - Black",B0C4FJGYDW,False,False,5.0,1.0
36,"2024 Planner – Weekly ＆ Monthly Planner 2024, Jan. 2024 – Dec. 2024, 6.4"" x 8.5"" with Tabs, Flexible Hardcover, Thick Paper, Strong Twin-Wire Binding, Back Pocket, Inspirational Quotes ＆ Notes",B0CCVHM8GF,False,False,4.6,26.0
37,"2024 Planner - Weekly Planner 2024 from January 2024 to December 2024, Weekly Monthly Planner 2024, 6"" x 8.3"", 2024 Monthly Planner with Inner Pocket and 12 Monthly Tabs",B0C9WWHGRJ,False,False,4.7,190.0
38,"AT-A-GLANCE 2024 Weekly & Monthly Planner, DayMinder, 8-1/2"" x 11"", Large, Spiral Bound, Monthly Tabs, Gray (GC5450724)",B0BZQ876SR,False,False,4.8,293.0
39,"Ymumuda 2024 Planner, 12-Month Weekly Monthly Planner from JAN.2024 to DEC.2024, 8.4"" X 6"", Spiral Planner Notebook with Stickers, Elastic Closure, Inner Pocket, Coated Tabs, Floral 02",B0CD72BLXQ,False,False,5.0,1.0
40,"2024 Planner - 2024 Planner Weekly and Monthly from January 2024 to December 2024, 8'' x 10'', 2024 Calendar Planner with Thick Paper, Inner Pocket, 2024 Calendar Monthly Planner 8 1/2 x 11",B0C7YY8KQM,False,False,4.6,3.0
41,2024-2025 Monthly Planner: Two year Agenda Calendar with Holidays and Inspirational Quotes large organizer and Schedule 8.5x11,B0C7T7YH88,False,False,4.4,6.0
42,"Ymumuda 2024-2025 Monthly Planner - 2 Year Monthly Planner, JAN.2024 to DEC.2025, 8.5"" x 11"", Large Planner with Spiral Bound, Ample Writing Space, Perfect for School & Office Schedule, Green",B0CD71SM9G,False,False,4.5,65.0
43,"Blue Sky 2024 Weekly and Monthly Planner, January - December, 5"" x 8"", Frosted Cover, Wirebound, Chloe (144734)",B0CBQW2JS7,False,False,4.6,535.0
44,"Kelly Ventura for Blue Sky 2024 Weekly and Monthly Planner, 8.5"" x 11"", Flexible Cover, Wirebound, Midnight Garden (140944-24)",B0CBQTFPSR,False,False,4.6,195.0
45,Smithsonian Engagement Calendar 2024,1588347311,False,False,2.0,1.0
46,"WOWOGO 2024 Weekly and Monthly Planner Agenda, January - December with Monthly Tabs,8.3"" x 5.5"", Spiral Bound",B0CGNL4XYS,False,False,,
47,"AT-A-GLANCE 2024 Weekly Planner Refill, 3-1/4"" x 6-1/2"", Pocket, Wirebound (064-287-24)",B0BZQC3JHK,False,False,4.7,396.0
