rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Vitamin D3 2000 IU Gummies, Orange, Lemon & Strawberry, 160 Count (2 per Serving) (Previously Solimo)",B07BBNNHRX,True,False,4.7,16781
1,"Thorne Vitamin D-10,000 - Vitamin D3 Supplement - 10,000 IU - Support Healthy Teeth, Bones, Muscles, Cardiovascular, and Immune Function - Gluten-Free, Dairy-Free, Soy-Free - 60 Capsules",B0797MG8KB,False,True,4.8,2041
2,"SOLARAY Vitamin D3 + K2, D & K Vitamins for Calcium Absorption and Support for Healthy Cardiovascular System & Arteries, Non-GMO & No Soy (120 Servings, 120 VegCaps)",B07FNWPNC3,False,True,4.8,4759
3,"Pure Encapsulations Vitamin D3 125 mcg (5,000 IU) - Supplement to Support Bone, Joint, Breast, Heart, Colon, and Immune Health* - with Vitamin D - 120 Capsules",B0017Q948U,False,True,4.8,6879
4,"Nature Made Vitamin D3 1000 IU (25 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 300 Day Supply,300 Count (Pack of 1)",B004U3Y8OM,False,False,4.8,31985
5,"NatureWise Vitamin D3 5000iu (125 mcg) 1 Year Supply for Healthy Muscle Function, and Immune Support, Non-GMO, Gluten Free in Cold-Pressed Olive Oil, Packaging Vary ( Mini Softgel), 360 Count",B00GB85JR4,False,False,4.8,149000
6,"NOW Supplements, Vitamin D-3 5,000 IU, High Potency, Structural Support*, 240 Softgels",B0032BH76O,False,False,4.8,42291
7,"Nature's Bounty Vitamin D3, Immune Support, 125 mcg (5000iu), Rapid Release Softgels, 240 Ct (package may differ)",B00DN4VCA2,False,False,4.8,74305
8,"Klaire Labs Vitamin D Plus K - 5000 IU Vitamin D3 with Vitamin K2 MK-7, Bioavailable Formula - Bone, Cardiovascular & Immune Support Supplement (60 Capsules)",B07Q3S8CTN,False,False,4.8,326
9,"Nature's Bounty Vitamin D, Immune Support, 2000 IU, Softgels, 350 Ct",B00DYSUQEA,False,False,4.8,61210
10,"365 Everyday Value, Vitamin D3 5000 IU, 120 ct",B074MFRM33,True,False,4.7,622
11,"OLLY Hello Happy Gummy Worms, Mood Balance Support, Vitamin D, Saffron, Adult Chewable Supplement, Tropical Zing - 60 Count",B092L9WWC8,False,True,4.4,3144
12,"Dr. Berg's Vitamin D3 K2 w/MCT Oil - Includes 10,000 IU of Vitamin D3, 100 mcg MK7 Vitamin K2, Purified Bile Salts, Zinc & Magnesium for Ultimate Absorption - K2 D3 Vitamin Supplement - 120 Capsule",B06WRNG37C,False,True,4.7,9599
13,"Vitamin D3 K2 (10,000 IU Vitamin D + 200mcg Vitamin K MK-7) 240 Softgels with Coconut Oil for Complete Absorption | Bone, Heart, Immune, & Calcium Support | One a Day, Non-GMO",B0C6WY48KJ,False,True,4.4,56
14,"Nature's Bounty Vitamin D3 1000 IU Softgels, Immune Support, Promotes Healthy Bones, 350 Ct",B004JO99TG,False,False,4.8,31017
15,"Vitafusion Vitamin D3 Gummy Vitamins for Bone and Immune System Support, Peach, Blackberry and Strawberry Flavored, 50 mcg Vitamin D, America’s Number 1 Gummy Vitamin Brand, 75 Day Supply, 150 Count",B004XLRTUQ,False,False,4.7,49061
16,"Bronson Vitamin D3 10,000 IU (250 MCG) 1 Year Supply for Healthy Muscle Function and Immune Support, Non-GMO, 360 Tablets",B0B13B147F,False,False,4.7,1273
17,"NOW Supplements, Vitamin D-3 2,000 IU, High Potency, Structural Support*, 240 Softgels",B001UZPY1O,False,False,4.8,24933
18,"Micro Ingredients Vitamin D3 5000 IU with K2 100 mcg, 300 Soft-Gels | K2 MK-7 with D3 Vitamin Supplement, 2 in 1 Support Immune, Heart, Joint, Teeth & Bone Health - Easy to Swallow",B07RX4P4RL,False,True,4.7,20274
19,MaryRuth's Vitamin D3 | K2 | Liquid Spray | Supplement for Adults & Kids | Calcium Absorption Strong Bones | Vegan | Non-GMO | Gluten Free | 1 Fl Oz,B07DNK1568,False,True,4.6,3557
20,Vitafusion® Multi + Energy 90 ct,B0BVTSQTVH,False,True,4.3,60
21,"Thorne Vitamin D-5000 - Vitamin D3 Supplement - 5,000 IU - Support Healthy Bones, Teeth, Muscles, Cardiovascular, and Immune Function - NSF Certified for Sport - Dairy-Free, Soy-Free - 60 Capsules",B0797HQFGT,False,True,4.8,8455
22,"Pure Encapsulations Vitamin D3 125 mcg (5,000 IU) - Supplement to Support Bone, Joint, Breast, Heart, Colon, and Immune Health* - with Vitamin D - 120 Capsules",B0017Q948U,False,False,4.8,6879
23,"NOW Supplements, Vitamin D-3 10,000 IU, Highest Potency, Structural Support*, 120 Softgels",B00F45EQ4W,False,False,4.8,5946
24,"Carlyle Vitamin D 10000 IU 400 Softgels | Value Size | Max Potency | Non-GMO, Gluten Free Supplement",B07GRBQY5B,False,False,4.8,19376
25,"Sports Research Vitamin D3 5000 IU with Coconut MCT Oil - High Potency Vitamin D Supplement for Immune & Bone Support - Non-GMO Verified, Gluten & Soy Free – 125mcg, 360 Liquid Softgels",B00JGCBGZQ,False,False,4.8,66940
26,"Vitamin D3 Liquid 1000 IU Per Spray, Vegan D3 Vitamin for Women and Men, Garden of Life Mykind Organic D3 Plus Omegas - Vanilla Flavor - 125 Servings - 2 fl oz Liquid Whole Food D3 Vitamin Supplement",B00K5NEPLW,False,False,4.5,5088
27,"Thorne Vitamin D-5000 - Vitamin D3 Supplement - 5,000 IU - Support Healthy Bones, Teeth, Muscles, Cardiovascular, and Immune Function - NSF Certified for Sport - Dairy-Free, Soy-Free - 60 Capsules",B0797HQFGT,False,False,4.8,8455
28,Vitamin D3 Liquid Drops 5000 IU for Nervous System & Immune Support | Vegan Organic Plant-Based Vitamin D3 for All Ages Supplement | Made in USA | 2oz 60 Servings 2Months Supply,B0BXFF21Y6,False,False,4.6,33
29,"vitafusion Extra Strength Vitamin D3 Gummy, Strawberry Flavored Bone and Immune System Support (1) 120 Count",B00OGYSLDE,False,False,4.7,15504
30,"NOW Supplements, Vitamin D-3 & K-2, 1,000 IU/45 mcg, Plus Cardiovascular Support*, Supports Bone Health*, 120 Veg Capsules",B0019QT9LA,False,False,4.7,8090
31,"Life Extension Vitamin D3 125 mcg (5000 IU), Bone Health, Brain Performance, Immune System Support, Gluten-free, Non-GMO, Once Daily, Two-month Supply, 60 Softgels",B000GTFOBA,False,False,4.7,6645
32,"Nature's Bounty Vitamin D3 1000 IU, Immune Support, Helps Maintain Healthy Bones, 250 Rapid Release Softgels",B001KYOJC0,False,False,4.7,13373
33,"Solgar Vitamin D3 (Cholecalciferol) 250 MCG (10,000 IU), 120 Softgels - Helps Maintain Healthy Bones & Teeth - Immune System Support - Non GMO, Gluten/ Dairy Free - 120 Servings",B00514BJO6,False,False,4.8,11025
34,"NOW Supplements, Vitamin D-3 1,000 IU, High Potency, Structural Support*, 360 Softgels",B0025P0ZEY,False,False,4.8,9273
35,"Nature Made Maximum Strength Vitamin D3 10000 IU (250 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 60 Softgels, 60 Day Supply",B09RQYSGN4,False,False,4.8,3033
