rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Kids/Youth Gaming Recliner with Headrest and Back Pillow, Set of 3, 3+ Age Group, Black/Blue",B07THSQFHW,True,False,4.5,1886
1,"Amazon Basics Swivel Foam Lounge Chair - with Headrest, Adjustable, Denim, Blue, 26.3D x 23.5W x 13.7H in",B07Q2PGH2T,True,False,4.3,1747
2,"AmazonCommercial Ergonomic Executive Office Desk Chair with Flip-up Armrests, Adjustable Height, Tilt and Lumbar Support, 29.5""D x 28""W x 43""H, Grey Bonded Leather",B07V5WKJM4,True,False,4.3,3008
3,"Amazon Basics High-Back Executive Swivel Office Desk Chair with Ribbed Puresoft Upholstery, Lumbar Support, Modern Style, 23.9""D x 24.69""W x 41.5""H, Black",B07KXF19FN,True,False,4.4,2148
4,"Amazon Basics Faux Leather Kids/Youth Recliner with Armrest Storage, 3+ Age Group, Brown, 26.2D x 24.5W x 27.05H in",B07TLFBTNV,True,False,4.7,2389
5,"Amazon Basics Racing/Gaming Style Office Chair -Faux Leather, Green, 25.2""D x 22.6""W x 44.1""H",B0888QJV4S,True,False,4.2,794
6,"Amazon Basics Ergonomic Adjustable High-Back Chair with Flip-Up Arms and Headrest, Contoured Mesh Seat - Grey, 25.5""D x 26.25""W x 45.5""H",B08KTN6DDG,True,False,4.2,408
7,"Amazon Basics Classic Puresoft PU Padded Mid-Back Office Computer Desk Chair with Armrest - Cream, 26""D x 23.75""W x 42""H",B081H44MHD,True,False,4.2,32485
8,"Amazon Basics Mesh Mid-Back Adjustable-Height 360-Degree Swivel Office Desk Chair with Armrests, Black",B00IIFW2L4,True,False,4.4,16204
9,"Amazon Basics Padded Office Desk Chair with Armrests, Adjustable Height/Tilt, 360-Degree Swivel, 275 Pound Capacity, 24 x 24.2 x 34.8 Inches, Black",B00IFHPVEU,True,False,4.3,29398
10,"Amazon Basics Gel Enhanced Memory Foam Seat Cushion for Office Chair, Black",B08BM9CSGS,True,False,4.3,4700
11,"Amazon Basics Low-Back, Upholstered Mesh, Adjustable, Swivel Computer Office Desk Chair, Black, 18.7""D x 17.7""W x 38.2""H",B01D7P5BFS,True,False,4.5,20048
12,"Amazon Basics Classic Office Desk Computer Chair - Adjustable, Swiveling, Ultra-Soft Microfiber, Lumbar Support, 28""D x 25""W x 43.5""H, Black",B07L3XD93D,True,False,4.3,1529
13,"Amazon Basics Modern Executive Chair, 275lb Capacity with Oversized Seat Cushion, Ivory Bonded Leather, 29.13""D x 25.2""W x 43.11""H",B07V6Z97QJ,True,False,4.4,1849
14,"Amazon Basics Mid-back Mesh Office Drafting Chair Stool with Adjustable Footrest, Flip-Up Arms, Black",B09ZVK4FYP,True,False,3.8,42
15,"Amazon Basics Folding Plastic Chair with 350-Pound Capacity - 6-Pack, White",B07SPYD4MW,True,False,4.7,8172
16,"Amazon Basics Faux Fur Saucer Shaped Chair with Foldable Metal Frame, Pink, 27.2""D x 32.3""W x 32.3""H",B09J15QC9W,True,False,4.4,710
17,"Amazon Basics Adjustable 14-Position 41-inch Memory Foam Floor Chair - Navy, 41.3""D x 21.3""W x 6""H",B07Q3WM66Q,True,False,4.5,281
18,"Amazon Basics Hexagon Shaped Chair with Foldable Metal Frame, Tan, 33.5""D x 31.5""W x 34.3""H",B09J16RG5Q,True,False,4.0,576
19,"Amazon Brand - Ravenna Home Set of 2 Contemporary Outdoor Patio Dining Chairs with Cushion, Weather-Resistant PE Rattan Wicker, Brown, 24.8""D x 25""W x 33.9""H",B08YL3R4HR,True,False,4.0,53
20,"Amazon Basics Outdoor Textilene Adjustable Zero Gravity Folding Reclining 3-Piece Lounge Chair Set with Side Table, Pack of 2, Red",B07MNDVY3R,True,False,4.7,11828
21,"Amazon Basics Modern Armless Office Desk Chair - Height Adjustable, 360-Degree Swivel, 275Lb Capacity, 22.05""D x 18.31""W x 33.46""H, Black/Chrome",B08LHR7VY4,True,False,4.6,1083
22,"Amazon Basics Outdoor Textilene Zero Gravity Folding Lounge Rocker with Pillow, Red",B07HMYPW1N,True,False,4.5,2392
23,"Amazon Basics Memory Foam Filled Bean Bag Chair with Microfiber Cover, 4 ft, Blue, Solid",B07TKXBZZL,True,False,4.3,5461
24,"Amazon Basics Upholstered Home Office 360 Degree Swivel Rolling Desk Chair with Arms and Adjustable-Height - Light Gray, 25""D x 23.25""W x 36.25""H",B08G2MQS4V,True,False,4.4,326
25,"Amazon Brand – Rivet Modern Loveseat Sofa with Underseat Storage, 63.8""W, Chalk",B08LNXN3Z3,True,False,4.6,37
26,"Adesso Stanley, Accent Chair, Dark Grey Soft Textured Fabric, Brushed steel leg frame, Includes Accent Pillow",B06XZBTWBC,False,False,5.0,2
27,"Amazon Basics Rectangular Gaming Computer Desk With Storage For Controller, Headphone & Speaker, Blue & Black, 23.4"" D x 51"" W x 35.9"" H",B07QW3JRT4,True,False,4.7,9004
28,"Amazon Basics Big & Tall Executive Computer Desk Chair With Lumbar Support, Adjustable Height and Tilt, 350 Lb Capacity, Brown With Pewter Finish, 28.5"" D x 30.25"" W x 47.9"" H",B01DN7NFRG,True,False,4.0,4994
