rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 8-Pack 9 Volt Alkaline Performance All-Purpose Batteries, 5-Year Shelf Life, Packaging May Vary",B00MH4QM1S,True,False,4.7,157167
1,"Amazon Basics 4-Pack 9 Volt Alkaline Everyday Batteries, 5-Year Shelf Life",B081FGCRQQ,True,False,4.7,14355
2,"Amazon Basics 8-Pack 9 Volt Lithium High-Performance Batteries, 10-Year Shelf Life, Long Lasting Power",B082DNB3F3,True,False,4.6,3174
3,"Amazon Basics Alkaline Battery Combo Pack | AA 48-Pack, AAA 36-Pack, 9 Volt 8-Pack (May Ship Separately)",B08KT9G87T,True,False,4.7,686
4,"Amazon Basics 100-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B01B8R6PF2,True,False,4.7,752900
5,"Amazon Basics 36-Pack AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B00LH3DMUO,True,False,4.7,674504
6,"Amazon Basics 4-Pack 9 Volt Alkaline Performance All-Purpose Batteries, 5-Year Shelf Life, Packaging May Vary",B0774D64LT,True,False,4.7,35175
7,"Amazon Basics 12-Pack LR44 Alkaline Button Cell Battery, 1.5 Volt, Long Lasting Power, Mercury-Free",B08J4S2HGS,True,False,4.7,46421
8,"Amazon Basics 12-Pack 9 Volt Alkaline Performance All-Purpose Batteries, 5-Year Shelf Life, Packaging May Vary",B0B4RSNDPG,True,False,4.7,858
9,"Amazon Basics 8-Pack AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B00O869QUC,True,False,4.7,674504
