rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 Everyday Value, Vitamin D3 1000 IU, Capsule, 250 ct",B078465XC2,True,False,4.5,91
1,"NatureWise Vitamin D3 5000iu (125 mcg) 1 Year Supply for Healthy Muscle Function, and Immune Support, Non-GMO, Gluten Free in Cold-Pressed Olive Oil, Packaging Vary ( Mini Softgel), 360 Count",B00GB85JR4,False,True,4.8,149000
2,"(2 Pack) Organic Vitamin D3 K2 Drops w MCT Oil Omega 3, Maximum Strength Vitamin D 5000 IU, No Fillers, Non-GMO Liquid D3 for Faster Absorption & Immune Support, Unflavored, 2 Fl Oz",B08CY92YHP,False,True,4.4,9788
3,"Thorne Vitamin D-5000 - Vitamin D3 Supplement - 5,000 IU - Support Healthy Bones, Teeth, Muscles, Cardiovascular, and Immune Function - NSF Certified for Sport - Dairy-Free, Soy-Free - 60 Capsules",B0797HQFGT,False,True,4.8,8455
4,"Nature Made Vitamin D3 2000 IU (50 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 100 Tablets, 100 Day Supply",B004GJRFYK,False,False,4.7,37400
5,"NOW Supplements, Vitamin D-3 5,000 IU, High Potency, Structural Support*, 240 Softgels",B0032BH76O,False,False,4.8,42291
6,"NatureWise Vitamin D3 5000iu (125 mcg) 1 Year Supply for Healthy Muscle Function, and Immune Support, Non-GMO, Gluten Free in Cold-Pressed Olive Oil, Packaging Vary ( Mini Softgel), 360 Count",B00GB85JR4,False,False,4.8,149000
7,"Nature Made Vitamin D3 1000 IU (25 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 300 Day Supply,300 Count (Pack of 1)",B004U3Y8OM,False,False,4.8,31985
8,"Nature Made Extra Strength Vitamin D3 5000 IU (125 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 180 Softgels, 180 Day Supply",B008GC9T6A,False,False,4.8,56761
9,"Nature's Bounty Vitamin D3, Immune Support, 125 mcg (5000iu), Rapid Release Softgels, 240 Ct (package may differ)",B00DN4VCA2,False,False,4.8,74305
10,"Amazon Elements Vitamin D3, 5000 IU, 180 Softgels, 6 month supply (Packaging may vary), Supports Strong Bones and Immune Health",B07BFRVP95,True,False,4.8,17355
11,"Dr. Berg's Vitamin D3 K2 w/MCT Oil - Includes 10,000 IU of Vitamin D3, 100 mcg MK7 Vitamin K2, Purified Bile Salts, Zinc & Magnesium for Ultimate Absorption - K2 D3 Vitamin Supplement - 120 Capsule",B06WRNG37C,False,True,4.7,9599
12,"Pure Encapsulations Vitamin D3 125 mcg (5,000 IU) - Supplement to Support Bone, Joint, Breast, Heart, Colon, and Immune Health* - with Vitamin D - 120 Capsules",B0017Q948U,False,True,4.8,6879
13,"NatureBell Vitamin D3 50,000 iu with K2 200 mcg, 180 Coconut Oil Softgels | Vitamins D as Cholecalciferol & K as MK-7 | Max Strength Bone, Heart, Immune, & Calcium Support | Once Weekly, Non-GMO",B0C2SFWMSW,False,True,4.8,39
14,"Doctor's Best Vitamin D3 5,000 IU for Healthy Bones, Teeth, Heart and Immune Support, Non-GMO, Gluten-Free, Soy Free, 360 Count (Pack of 1)",B0050MYHBQ,False,False,4.8,20997
15,"Nature Made Vitamin D3 2000 IU (50 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 250 Softgels, 250 Day Supply",B004GJYTF8,False,False,4.8,20834
16,"Nature's Bounty Vitamin D3 1000 IU Softgels, Immune Support, Promotes Healthy Bones, 350 Ct",B004JO99TG,False,False,4.8,31017
17,"NOW Supplements, Vitamin D-3 2,000 IU, High Potency, Structural Support*, 120 Softgels",B0019LVGPC,False,False,4.8,24933
18,"Dr. Berg Vitamin D3 K2 with Zinc & MCT Oil Liquid Supplement - Liquid Vitamin D3 with K2 for Bone & Teeth Strength, Mood, Immune & Heart Health D3 K2 Drops - Vitamin D3 K2 Drops for Adults - 1 fl oz",B0B7P6631T,False,True,4.6,696
19,"Vitamin D3 K2 (10,000 IU Vitamin D + 200mcg Vitamin K MK-7) 240 Softgels with Coconut Oil for Complete Absorption | Bone, Heart, Immune, & Calcium Support | One a Day, Non-GMO",B0C6WY48KJ,False,True,4.4,56
20,"Vitamin D3 5000 IU (125 mcg) Natural Immune Support Supplement, Bone Strength, Healthy Muscle Function, with Olive Oil for Highest Absorption, Gluten Free & Non-GMO, 1 Year Supply, 360 Softgels",B0747K8LKJ,False,True,4.8,6834
21,Nutricost Vitamin K2 (MK7) (100mcg) + Vitamin D3 (5000 IU) 120 Softgels - Gluten Free and Non-GMO,B07K3VFVJC,False,True,4.7,1160
22,"Sports Research Vitamin D3 5000 IU with Coconut MCT Oil - High Potency Vitamin D Supplement for Immune & Bone Support - Non-GMO Verified, Gluten & Soy Free – 125mcg, 360 Liquid Softgels",B00JGCBGZQ,False,False,4.8,66940
23,GNC Vitamin D-3 - 50 mcg - 180 Softgels,B085GLFB8Q,False,False,4.8,201
24,"Life Extension Vitamin D3 125 mcg (5000 IU), Bone Health, Brain Performance, Immune System Support, Gluten-free, Non-GMO, Once Daily, Two-month Supply, 60 Softgels",B000GTFOBA,False,False,4.7,6645
25,"Garden Of Life D3 - Vitamin Code Whole Food Raw D3 Vitamin Supplement, 2000 Iu, Dairy and Gluten Free, Vegetarian, 120 Capsules D3 with Organic Green Cracked Wall Chlorella Plus Probiotics",B0098U0RS8,False,False,4.8,3891
26,"Vitafusion Vitamin D3 Gummy Vitamins for Bone and Immune System Support, Peach, Blackberry and Strawberry Flavored, 50 mcg Vitamin D, America’s Number 1 Gummy Vitamin Brand, 75 Day Supply, 150 Count",B004XLRTUQ,False,False,4.7,49061
27,"Nature's Way Vitamin D3 Gummies, Immune Support*, Mixed Fruit Flavored, 2000 IU (50 mcg), 120 Gummies",B087LPN1BV,False,False,4.7,1931
28,"Nature's Bounty Vitamin D3-1000 IU, Rapid Release Softgels 250 ea (Pack of 2)",B00TYQ7IBK,False,False,4.7,471
29,"Garden of Life Vitamin D, Vitamin Code Raw D3, Vitamin D 5,000 IU, Raw Whole Food Vitamin D Supplements with Chlorella, Fruit, Veggies & Probiotics for Bone & Immune Health. 60 Vegetarian Capsules",B005JAT318,False,False,4.8,11243
30,"Doctor'S Best Vitamin D3, Capsule 5, 000 Iu for Healthy Bones, Teeth, Heart & Immune Support, Non-GMO, Gluten-Free, Soy Free, 720 Count (Pack of 1)",B00JGW9MZ2,False,False,4.8,1274
31,"Vitamin D3 10,000 IU + K2 MK7 200 mcg, Infused with Virgin Coconut Oil, 250 Softgels, Double Strength Vitamin D & K, Promotes Heart, Bone & Teeth Health - Very Easy to Swallow",B08FXX6WSZ,False,False,4.6,1562
32,"Metagenics Vitamin D3 5,000 IU - Vitamin D Supplement for Healthy Bone Formation, Cardiovascular Health, and Immune Support - 120 Count",B002D64I98,False,False,4.8,3709
33,"365 by Whole Foods Market, Vitamin D3 2000 IU, 250 Softgels",B074KL48W6,True,False,4.7,929
34,"Bronson Vitamin D3 10,000 IU (250 mcg) Immune Support, Healthy Muscle Function & Bone Health, High Potency Organic Non-GMO Vitamin D Supplement, 360 Tablets",B06XP3B13K,False,False,4.7,13395
35,"Pure Encapsulations Vitamin D3 125 mcg (5,000 IU) - Supplement to Support Bone, Joint, Breast, Heart, Colon, and Immune Health* - with Vitamin D - 120 Capsules",B0017Q948U,False,False,4.8,6879
36,"Solgar Vitamin D3 (Cholecalciferol) 250 MCG (10,000 IU), 120 Softgels - Helps Maintain Healthy Bones & Teeth - Immune System Support - Non GMO, Gluten/ Dairy Free - 120 Servings",B00514BJO6,False,False,4.8,11025
37,Carlyle Vitamin D3 5000 IU | 500 Softgels | Value Size | Non-GMO and Gluten Free Supplement | High Potency Formula | 125mcg,B07GRNB4DT,False,False,4.8,23471
38,"Nordic Naturals Pro Vitamin D3 1000, Orange - 120 Mini Soft Gels - 1000 IU Vitamin D3 - Supports Healthy Bones, Mood & Immune System Function - Non-GMO - 120 Servings",B07D92PWLP,False,False,4.8,1951
39,"Vitamin D3, 300 Softgels, Vitamin D 1000 IU (25 mcg) Helps Support Immune Health, Strong Bones and Teeth, & Muscle Function, 125% of the Daily Value for Vitamin D in Only One Daily Softgel",B00YMSNNPK,False,False,4.7,886
40,"NOW Supplements, Vitamin D-3 10,000 IU, Highest Potency, Structural Support*, 120 Softgels",B00F45EQ4W,False,False,4.8,5946
41,"NOW Supplements, Vitamin D-3 1,000 IU, High Potency, Structural Support*, 360 Softgels",B0025P0ZEY,False,False,4.8,9273
42,"Kirkland Signature Extra Strength D3 50 mcg, 600 Softgels",B00EXPV502,False,False,4.8,7707
43,"Nature's Bounty Vitamin D, Immune Support, 2000 IU, Softgels, 350 Ct",B00DYSUQEA,False,False,4.8,61210
44,"Nature Made Extra Strength Vitamin D3 5000 IU (125 mcg) per serving, Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 80 Gummies, 40 Day Supply, 80 Count (Pack of 1)",B07XVYYYPS,False,False,4.7,6677
45,"NATURELO Vitamin D - 2500 IU - Plant Based from Lichen - Natural D3 Supplement for Immune System, Bone Support, Joint Health - Vegan - Non-GMO - Gluten Free - 180 Mini Capsules",B078TXVTXT,False,False,4.7,5844
46,"Carlyle Vitamin D 10000 IU 400 Softgels | Value Size | Max Potency | Non-GMO, Gluten Free Supplement",B07GRBQY5B,False,False,4.8,19376
