rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Basics 24 Count AA & AAA High-Performance Batteries Value Pack - 12 Double AA Batteries and 12 Triple AAA Batteries,B094D3K2W9,True,False,4.7,5010
1,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",B0035LCFNQ,False,True,4.8,69989
2,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 20 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",B002UXRXEG,False,True,4.8,108922
3,"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 20 Count Pack Triple A Battery with Long-lasting Power, Alkaline AAA Battery for Household and Office Devices",B002UXRXE6,False,True,4.8,111343
4,"Amazon Basics 100-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B01B8R6PF2,True,False,4.7,752922
5,"Amazon Basics 36-Pack AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B00LH3DMUO,True,False,4.7,674319
6,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 20 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",B002UXRXEG,False,False,4.8,108922
7,Amazon Basics 24 Count AA & AAA High-Performance Batteries Value Pack - 12 Double AA Batteries and 12 Triple AAA Batteries,B094D3K2W9,True,False,4.7,5010
8,"Amazon Basics 8-Pack 9 Volt Alkaline Performance All-Purpose Batteries, 5-Year Shelf Life, Packaging May Vary",B00MH4QM1S,True,False,4.7,157122
9,"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 20 Count Pack Triple A Battery with Long-lasting Power, Alkaline AAA Battery for Household and Office Devices",B002UXRXE6,False,False,4.8,111343
10,"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B00MNV8E0C,True,False,4.7,752922
11,"Energizer Alkaline Power D Batteries (12 Pack), Long-Lasting Alkaline Size D Batteries",B09RTVHM2Q,False,True,4.7,5201
12,"Energizer AA Batteries and AAA Batteries, 24 Max Double A Batteries and 24 Max Triple A Batteries Combo Pack, 48 Count",B087GMJXMC,False,True,4.8,57872
13,"Rayovac AA Batteries, Double A Battery Alkaline, 30 Count",B002YEBESM,False,True,4.7,1548
14,"Amazon Basics 12-Pack D Cell Alkaline All-Purpose Batteries, 1.5 Volt, 5-Year Shelf Life",B00MH4QKP6,True,False,4.7,123190
15,"Energizer AA Batteries and AAA Batteries, 24 Max Double A Batteries and 24 Max Triple A Batteries Combo Pack, 48 Count",B087GMJXMC,False,False,4.8,57872
16,"Amazon Basics 12-Pack C Cell Alkaline All-Purpose Batteries, 1.5 Volt, 5-Year Shelf Life",B00MH4QI26,True,False,4.7,124591
17,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",B0035LCFNQ,False,False,4.8,69989
18,"Energizer Alkaline Power AA Batteries and Alkaline Power AAA Batteries Variety Pack, 32 AA and 32 AAA Batteries, 64 Count",B09V8888V4,False,True,4.8,839
19,"Energizer AA Batteries Double A Max Alkaline Battery, 24 Count",B07TXNX6S2,False,True,4.8,27467
20,"Duracell Coppertop D Batteries, 8 Count Pack, D Battery with Long-lasting Power, All-Purpose Alkaline D Battery for Household and Office Devices",B00164H4AI,False,True,4.8,25731
21,"Voniko - Premium Grade AA Batteries - (12 Pack) - Alkaline Double A Battery - Ultra Long-Lasting, Leakproof 1.5v Batteries - 10-Year Shelf Life",B086Y8NPNC,False,True,4.5,10035
22,"Duracell CR2032 3V Lithium Battery, Child Safety Features, 6 Count Pack, Lithium Coin Battery for Key Fob, Car Remote, Glucose Monitor, CR Lithium 3 Volt Cell",B0855FD9P2,False,False,4.7,38166
23,"Amazon Basics 12-Pack AA Alkaline Batteries, 1.5 Volt, Long Lasting Power",B07KWYGTC6,True,False,4.6,18326
24,"ACDelco AA and AAA 48-Count Combo Pack Super Alkaline Batteries, 24-Count Each, 10-Year Shelf Life, Recloseable Packaging",B084HBY955,False,False,4.6,1573
25,"POWEROWL High-Capacity Alkaline AAA Batteries 24 Pack, 1.5v Long Lasting Triple A Battery, 10-Year Shelf Life",B0BG8G67SP,False,False,4.4,1622
26,"Duracell Coppertop D Batteries, 8 Count Pack, D Battery with Long-lasting Power, All-Purpose Alkaline D Battery for Household and Office Devices",B00164H4AI,False,False,4.8,25731
27,"Energizer AA Batteries, Double A Long-Lasting Alkaline Power Batteries, 32 Count (Pack of 1)",B09RTVD1GF,False,False,4.8,25429
28,"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 16 Count Pack Triple A Battery with Long-lasting Power, Alkaline AAA Battery for Household and Office Devices",B006CSQXLO,False,False,4.8,30438
29,"Energizer AA Batteries, Max Double A Battery Alkaline, 24 Count",B004U429AQ,False,False,4.7,44989
30,"Voniko - Premium Grade AAA Batteries - 24 Pack - Alkaline Triple A Battery - Ultra Long-Lasting, Leakproof 1.5v Batteries - 10-Year Shelf Life",B07RX92KGM,False,False,4.5,15325
31,"POWEROWL 24 x LR44 Batteries, High Capacity AG13 357 303 SR44 L1154F A76 Premium Alkaline Battery 1.5V Button Coin Cell Batteries",B0BKZW459C,False,False,4.7,5209
32,"Duracell Coppertop C Batteries, 8 Count Pack, C Battery with Long-lasting Power, All-Purpose Alkaline C Battery for Household and Office Devices",B000FD6RTA,False,False,4.8,17787
33,"Duracell Coppertop 9V Battery, 4 Count Pack, 9-Volt Battery with Long-lasting Power, All-Purpose Alkaline 9V Battery for Household and Office Devices",B000K2NW08,False,False,4.8,36500
34,"ACDelco 100-Count AA Batteries, Maximum Power Super Alkaline Battery, 10-Year Shelf Life, Reclosable Packaging",B004SCA15K,False,False,4.7,66719
35,"Voniko - Premium Grade AA Batteries - 36 Pack - Alkaline Double A Battery - Ultra Long-Lasting, Leakproof 1.5v Batteries - 10-Year Shelf Life",B07S1D61X7,False,False,4.5,10035
36,"Energizer AA Batteries, Max Double A Battery Alkaline, 4 Count",B00451SSBI,False,False,4.7,5439
37,"Energizer E91BW12EM AA Batteries (12 Count), Double A Max Alkaline Battery",B00BWAYA6C,False,False,4.8,4446
38,"Energizer AA Lithium Batteries, World's Longest Lasting Double A Battery, Ultimate Lithium (8 Battery Count)",B00EAKP8S0,False,False,4.7,37043
39,Amazon Basics 108 Count Alkaline Battery Super Value Pack - 48 AA + 36 AAA + 8 C + 8 D + 8 9Volt,B094D4FVN2,True,False,4.8,855
40,"Energizer CR2032 Batteries, 3V Lithium Coin Cell 2032 Watch Battery,White (6 Count)",B0002RID4G,False,False,4.8,176199
41,"ACDelco 48-Count AA Batteries, Maximum Power Super Alkaline Battery, 10-Year Shelf Life, Recloseable Packaging",B07JY6Y2KP,False,False,4.7,4585
42,"Energizer AAA Batteries (48 Count), Triple A Max Alkaline Battery",B079GS4YQS,False,False,4.8,64478
43,"Energizer AA Batteries Double A Max Alkaline Battery, 24 Count",B07TXNX6S2,False,False,4.8,27467
44,"Powermax 100-Count AA Batteries, Ultra Long Lasting Alkaline Battery, 10-Year Shelf Life, Recloseable Packaging 100 Count (Pack of 1)",B08FDPNBF2,False,False,4.6,4784
45,"Energizer MAX C Batteries, Premium Alkaline C Cell Batteries (8 Battery Count)",B0044DA3NS,False,False,4.8,20928
46,"Amazon Basics 16-Pack Rechargeable AA NiMH Batteries, 2000 mAh, Recharge up to 1000x Times, Pre-Charged",B007B9NV8Q,True,False,4.5,125486
47,"Amazon Basics 4-Pack 9 Volt Alkaline Everyday Batteries, 5-Year Shelf Life",B081FGCRQQ,True,False,4.7,14346
48,"Duracell Optimum AA Batteries with Power Boost Ingredients, 12 Count Pack Double A Battery with Long-lasting Power, All-Purpose Alkaline AA Battery for Household and Office Devices",B07RVKSGGV,False,False,4.8,24986
49,"Duracell CR2025 3V Lithium Battery, Child Safety Features, 4 Count Pack, Lithium Coin Battery for Key Fob, Car Remote, Glucose Monitor, CR Lithium 3 Volt Cell",B00L4EEQCY,False,False,4.7,7314
50,LiCB CR2032 3V Lithium Battery(10-Pack),B071D4DKTZ,False,False,4.6,170381
51,"POWEROWL High Capacity LR44 Batteries 40 Pack, L1154F AG13 357 303 SR44 A76 Premium Alkaline Battery 1.5V Button Coin Cell Batteries",B088BBV7DS,False,False,4.6,15793
52,"Energizer Alkaline Power AAA Batteries (32 Pack), Long-Lasting Triple A Batteries",B09RTVN5GN,False,False,4.8,13997
53,"ACDelco 48-Count AA Batteries, Maximum Power Super Alkaline Battery, 10-Year Shelf Life, Reclosable Packaging Blue",B01I31F0PW,False,False,4.7,8333
54,"POWEROWL High Capacity CR2032 Battery (20-Pack) 3v Lithium Batteries, 10 Years Leak-Free, Long Lasting Cr 2032",B08ML4X69J,False,False,4.5,7499
55,"Energizer 9V Batteries, 2 Count MAX Premium Alkaline 9 Volt",B00003IE4E,False,False,4.7,9816
56,"Rayovac AA Batteries and AAA Batteries, Double A Battery and Triple A Battery Combo Pack, 54 Count",B01NAF36V7,False,False,4.7,5352
57,Energizer Max AAA Alkaline Battery 4 ea (Pack of 2),B01IAI62NW,False,False,4.8,167
58,"AmazonBasics Alkaline Battery Combo Pack | AA 48-Pack, AAA 36-Pack (May Ship Separately)",B07JF5NZPS,True,False,4.7,3556
59,"Duracell Coppertop AA + AAA Batteries, 56 Count Pack Double A and Triple A Battery with Long-Lasting Power for Household and Office Devices (Ecommerce Packaging)",B09FVKV32D,False,False,4.8,7972
