rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Apple AirPods Pro (2nd Gen) Wireless Earbuds, Up to 2X More Active Noise Cancelling, Adaptive Transparency, Personalized Spatial Audio MagSafe Charging Case (Lightning) Bluetooth Headphones for iPhone",B0BDHWDR12,False,True,4.7,45380
1,"Apple AirPods Max Wireless Over-Ear Headphones. Active Noise Cancelling, Transparency Mode, Spatial Audio, Digital Crown for Volume Control. Bluetooth Headphones for iPhone - Green",B08PZDSP2Z,False,True,4.6,13072
2,"Apple AirPods Pro (2nd Gen) Wireless Earbuds, Up to 2X More Active Noise Cancelling, Adaptive Transparency, Personalized Spatial Audio MagSafe Charging Case (Lightning) Bluetooth Headphones for iPhone",B0BDHWDR12,False,False,4.7,45380
3,Apple AirPods Pro - 1st Gen (Renewed),B0828BJGD2,False,False,4.3,18844
4,Apple AirPods Pro (2nd Generation) with AppleCare+ (2 Years),B0BGVJX3TX,False,False,4.8,1673
5,Apple AirPods Pro (1st Generation) with MagSafe Charging Case,B09JQMJHXY,False,False,4.7,145778
6,Apple AirPods Pro (2nd Generation) (Renewed),B0BJQWYLYN,False,False,4.4,1021
7,Apple AirPods Pro,B07ZPC9QD4,False,False,4.8,300621
8,Apple AirPods Pro Wireless Earbuds with MagSafe Charging Case (Renewed),B0B844T634,False,False,4.2,622
9,"Apple AirPods (3rd Generation) Wireless Earbuds with Lightning Charging Case. Spatial Audio, Sweat and Water Resistant, Up to 30 Hours of Battery Life. Bluetooth Headphones for iPhone",B0BDHB9Y8H,False,False,4.5,10383
10,"Apple AirPods (2nd Generation) Wireless Earbuds with Lightning Charging Case Included. Over 24 Hours of Battery Life, Effortless Setup. Bluetooth Headphones for iPhone",B07PXGQC1Q,False,False,4.7,591983
11,Wireless Earbuds Active Noise Cancelling Headphones Wireless Bluetooth 5.2 with Microphone Charging Case 30H Playtime in-Ear Hi-Fi Stereo IPX7 Waterproof Headsets for iPhone airpod pro/Android,B0CHYLD42Y,False,False,4.6,2660
12,"[Apple MFi Certified] AirPods Pro Wireless Earbuds for iPhone Wireless Headset with Touch Control, Noise Cancelling, IPX7 Waterproof Built-in Microphone with Charging case White",B0CJXNWSQ2,False,False,4.3,1434
13,"YOUJI Wireless Earbuds 5.3 Bluetooth Earbud 40 Hours Play IPX6 Waterproof Sports Earphones, Stereo Noise Audifonos Bluetooth Inalambricos with LED Lights for iOS Android Laptop",B0CFKJB3NH,False,False,5.0,167
14,"Beats Studio Buds + | True Wireless Noise Cancelling Earbuds, Enhanced Apple & Android Compatibility, Built-in Microphone, Sweat Resistant Bluetooth Headphones, Spatial Audio - Transparent",B0BZK2Z2TC,False,False,4.3,890
15,"Earbuds Cleaning Pen - Cleaner Kit for Airpod, Wireless Earphones and Headphones",B0C156BQ8X,False,False,4.4,326
16,"Wireless Earbuds, Bluetooth 5.3 Headphones 40Hrs Playtime Deep Bass Stereo in-Ear Earbud, LED Power Display, Call Noise Canceling Headphones with Mic, IP7 Waterproof Earphones for iPhone Android",B0CFYFLTM2,False,False,5.0,262
17,"Apple EarPods Headphones with USB-C Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone",B0CHXC5ZDX,False,False,4.6,268318
